10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.148.0.45,,Mikrotik Wireless 60G,
10.135.0.116,Заявка № 51562,Mikrotik Wireless 60G,
10.135.0.142,Заявка № 51562,Mikrotik Wireless 60G,
10.144.0.90,Заявка № 55796,Mikrotik Wireless 60G,
10.111.30.202,,Mikrotik Wireless 60G,
10.111.30.104,,Mikrotik Wireless 60G,
10.111.11.35,,Mikrotik Stx6,
10.111.11.36,,Mikrotik Stx6,
10.138.0.55,,Mikrotik Wireless 60G,
10.138.0.56,заявка 52780,Mikrotik Wireless 60G,
10.144.0.85,Заявка № 56141,Mikrotik Wireless 60G,
10.144.0.94,Заявка № 56141,Mikrotik Wireless 60G,
10.151.0.55,Заявка № 55986,Mikrotik Wireless 60G,
10.151.0.60,Заявка № 55986,Mikrotik Wireless 60G,
10.131.0.85,,Mikrotik Wireless 60G,
10.131.0.152,,Mikrotik Wireless 60G,
10.148.0.69,,Mikrotik Wireless 60G,
10.148.0.70,Заявка № 56087  7096-03f9,Mikrotik Wireless 60G,
10.135.2.8,Заявка № 55260,Mikrotik Wireless 60G,
10.135.2.9,,Mikrotik Wireless 60G,
10.141.0.5,Заявка № 56178,Mikrotik Wireless 60G,
10.141.0.47,Заявка № 56178,Mikrotik Wireless 60G,
10.138.0.57,Заявка № 55406 ,Mikrotik Wireless 60G,
10.138.0.58,Заявка № 55406 ,Mikrotik Wireless 60G,
10.139.0.252,,Mikrotik Wireless 60G,
10.139.0.251,Заявка № 56150 ,Mikrotik Wireless 60G,
10.138.0.60,56711,Mikrotik Wireless 60G,
10.138.0.61,56711,Mikrotik Wireless 60G,
10.144.0.96,,Mikrotik Wireless,
10.144.0.97,,Mikrotik Wireless,
10.139.0.241,,Mikrotik Wireless 60G,
10.139.0.240,,Mikrotik Wireless 60G,
10.145.0.26,,Mikrotik Wireless 60G,
10.145.0.27,Резерв на ЖК Барселона,Mikrotik Wireless 60G,
10.145.0.28,Резерв на Ершова 8 Заявка № 57462,Mikrotik Wireless 60G,
10.145.0.29,,Mikrotik Wireless 60G,
10.145.0.30,Резерв на Волкова 60,Mikrotik Wireless 60G,
10.145.0.31,на 25 порту,Mikrotik Wireless 60G,
10.139.0.66,Заявка № 57337 ,Mikrotik Wireless 60G,
10.139.0.67,,Mikrotik Wireless 60G,
10.135.2.17,56931,Mikrotik Wireless 60G,
10.135.2.18,56931,Mikrotik Wireless 60G,
10.143.0.14,Заявка № 53185,Mikrotik Wireless,
10.143.0.21,,Mikrotik Wireless,
10.143.0.77,ST,Mikrotik Wireless 60G,
10.143.0.66,53185,Mikrotik Wireless 60G,
10.143.0.74,53185,Mikrotik Wireless 60G,
10.143.2.12,,Mikrotik Wireless 60G,
10.143.2.13,,Mikrotik Wireless 60G,
10.143.0.70,Заявка № 57267,Mikrotik Wireless 60G,
10.143.0.158,,Mikrotik Wireless 60G,
10.163.0.57,,Mikrotik Wireless 60G,
10.163.0.59,,Mikrotik Wireless 60G,
10.138.0.69,,Mikrotik Wireless 60G,
10.128.0.67,,Mikrotik Wireless 60G,
10.128.0.68,,Mikrotik Wireless 60G,
10.139.0.119,,Mikrotik Wireless,
10.139.0.122,,Mikrotik Wireless,
10.139.0.132,,Mikrotik Wireless 60G,
10.139.0.134,,Mikrotik Wireless 60G,
10.167.0.16,58986,Mikrotik Wireless 60G,
10.167.0.18,,Mikrotik Wireless 60G,
10.163.0.67,,Mikrotik Wireless 60G,
10.163.0.68,,Mikrotik Wireless 60G,
10.142.0.64,,Mikrotik Wireless 60G,
10.142.0.76,,Mikrotik Wireless 60G,
10.162.0.142,,Mikrotik Wireless 60G,
10.138.0.68,,Mikrotik Wireless 60G,
10.138.0.50,,Mikrotik Wireless 60G,
10.138.0.71,,Mikrotik Wireless 60G,
10.138.0.79,,Mikrotik Wireless 60G,
10.138.0.74,,Mikrotik Wireless 60G,
10.137.0.38,,Mikrotik Wireless 60G,
10.137.0.26,,Mikrotik Wireless 60G,
10.150.0.19,,Mikrotik Wireless 60G,
10.150.0.20,,Mikrotik Wireless 60G,
10.135.0.27,,Mikrotik Wireless 60G,
10.135.0.136,,Mikrotik Wireless 60G,
10.156.0.71,,Mikrotik Wireless 60G,
10.156.0.72,,Mikrotik Wireless 60G,
10.167.0.21,,Mikrotik Wireless 60G,
10.167.0.22,,Mikrotik Wireless 60G,
10.137.0.57,Mik-137-58-ap,Mikrotik Wireless,
10.137.0.58,,Mikrotik Wireless,
10.111.53.5,,Mikrotik Wireless 60G,
10.111.53.6,,Mikrotik Wireless 60G,
10.163.0.64,,Mikrotik Wireless 60G,
10.163.0.65,,Mikrotik Wireless 60G,
10.128.0.137,,Mikrotik Wireless 60G,
10.128.0.139,,Mikrotik Wireless 60G,
10.128.0.142,,Mikrotik Wireless 60G,
10.128.0.143,,Mikrotik Wireless 60G,
10.137.0.63,,Mikrotik Wireless,
10.137.0.62,61282,Mikrotik Wireless,
10.143.0.129,61412,Mikrotik Wireless 60G,
10.143.0.138,61412,Mikrotik Wireless 60G,
10.138.0.154,Mik-138-73-ap,Mikrotik Stx6,
10.138.0.91,Mik-138-73-ap,Mikrotik Stx6,
10.138.0.85,,Mikrotik Wireless 60G,
10.138.0.93,Mik-138-93-ap,Mikrotik Wireless 60G,
10.128.0.153,,Mikrotik Wireless 60G,
10.128.0.113,,Mikrotik Wireless 60G,
10.138.0.75,Заявка № 56816,Mikrotik Wireless 60G,
10.138.0.87,Заявка № 56816,Mikrotik Wireless 60G,
10.131.0.93,Заявка № 63616 ,Mikrotik Wireless,
10.131.0.96,60g пироженка 63616,Mikrotik Wireless,
