10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.111.18.122,,Mikrotik Wireless 60G,
10.148.0.26,Репортзерв для Сахарова 20 Положен 24-й ,Mikrotik Dyne Dish 6,
10.162.0.206,62640,Mikrotik Wireless 60G,
10.162.0.231,62640,Mikrotik Wireless 60G,
10.135.0.232,,Mikrotik Wireless 60G,
10.135.0.233,,Mikrotik Wireless 60G,
10.162.0.216,60480,Mikrotik Wireless 60G,
10.162.0.217,60480,Mikrotik Wireless 60G,
10.111.10.139,,Mikrotik Wireless 60G,
10.162.0.218,64800,Mikrotik Wireless 60G,
10.162.0.219,64800,Mikrotik Wireless 60G,
10.143.2.14,,Mikrotik Wireless 60G,
10.143.2.15,,Mikrotik Wireless 60G,
10.141.0.182,,Mikrotik Wireless 60G,
10.141.0.183,,Mikrotik Wireless 60G,
10.128.0.4,,Mikrotik Dyne Dish 6,
10.128.0.158,,Mikrotik Dyne Dish 6,
10.128.0.207,,Mikrotik Dyne Dish 6,
10.142.0.124,,Mikrotik Stx6,
10.142.0.125,,Mikrotik Stx6,
10.128.0.54,,Mikrotik Dyne Dish 6,
10.144.0.194,,Mikrotik Wireless 60G,
10.131.0.38,,Mikrotik Wireless 60G,
10.131.0.40,,Mikrotik Wireless 60G,
10.149.0.21,,Mikrotik Wireless 60G,
10.143.0.3,,Mikrotik Wireless 60G,
10.143.0.4,,Mikrotik Wireless 60G,
10.128.0.57,,Mikrotik Dyne Dish 6,
10.143.2.42,,Mikrotik Dyne Dish 6,
10.111.11.231,,Mikrotik Dyne Dish 6,
10.111.11.232,,Mikrotik Dyne Dish 6,
10.111.18.221,,Mikrotik Wireless 60G,
10.111.18.220,,Mikrotik Wireless 60G,
10.135.0.77,,Mikrotik Wireless 60G,
10.135.0.80,,Mikrotik Wireless 60G,
10.140.0.18,,Mikrotik Wireless 60G,
10.140.0.25,,Mikrotik Wireless 60G,
10.140.0.94,,Mikrotik Wireless 60G,
10.140.0.95,,Mikrotik Wireless 60G,
10.111.10.231,,Mikrotik Wireless 60G,
10.111.10.5,,Mikrotik Wireless 60G,
10.143.0.51,,Mikrotik Wireless 60G,
10.143.0.52,,Mikrotik Wireless 60G,
10.131.0.42,,Mikrotik Stx6,
10.131.0.41,,Mikrotik Stx6,
10.128.0.5,,Mikrotik Wireless 60G,
10.128.0.9,,Mikrotik Wireless 60G,
10.156.0.67,,Mikrotik Stx6,
10.156.0.61,,Mikrotik Stx6,
10.128.0.243,10.128.0.49 - 3 порт,Mikrotik Wireless,
10.128.0.245,,Mikrotik Wireless 60G,
10.111.10.32,,Mikrotik Wireless 60G,
10.111.10.31,,Mikrotik Wireless 60G,
10.140.0.226,,Mikrotik Wireless 60G,
10.140.0.227,,Mikrotik Wireless 60G,
10.140.0.82,,Mikrotik Wireless 60G,
10.140.0.83,,Mikrotik Wireless 60G,
10.162.0.18,58320,Mikrotik Wireless 60G,
10.162.0.17,58320,Mikrotik Wireless 60G,
10.111.18.10,,Mikrotik Wireless 60G,
10.111.18.20,,Mikrotik Wireless 60G,
10.111.10.108,mik-111-108-ap,Mikrotik Base Box,
10.139.0.7,,Mikrotik Stx6,
10.139.0.6,,Mikrotik Stx6,
10.111.30.183,Антенна изначально настроена с другого узла. Надо у монтажников просить доступ по тимвиверу и перенастраивать ,Mikrotik Wireless 60G,
10.111.10.19,,Mikrotik Stx6,
10.111.10.35,,Mikrotik Stx6,
10.111.30.182,,Mikrotik Wireless 60G,
10.144.0.9,,Mikrotik Wireless 60G,
10.144.0.15,,Mikrotik Wireless 60G,
10.162.0.235,6410,Mikrotik Stx6,
10.162.0.236,6410,Mikrotik Stx6,
10.111.6.12,,Mikrotik Dyne Dish 6,
10.143.2.53,,Mikrotik Dyne Dish 6,
10.143.2.52,,Mikrotik Dyne Dish 6,
10.163.0.47,,Mikrotik Wireless 60G,
10.163.0.43,,Mikrotik Wireless 60G,
10.162.0.232,58320,Mikrotik Wireless 60G,
10.162.0.237,58320,Mikrotik Wireless 60G,
10.162.0.240,62640,Mikrotik Wireless 60G,
10.162.0.242,60480,Mikrotik Wireless 60G,
10.162.0.245,64800,Mikrotik Wireless 60G,
10.162.0.246,64800,Mikrotik Wireless 60G,
10.162.0.248,60480,Mikrotik Wireless 60G,
10.162.0.251,60480,Mikrotik Wireless 60G,
10.162.0.243,60480,Mikrotik Wireless 60G,
10.162.0.239,62640,Mikrotik Wireless 60G,
10.139.0.124,,Mikrotik Stx6,
10.139.0.129,,Mikrotik Stx6,
10.135.0.218,,Mikrotik Stx6,
